ID,Symbol,CC-1,CC-2,CC-3,C4-1,C4-2,C4-3,IG-1,IG-2,IG-3,Z1-1,Z1-2,Z1-3,Z2-1,Z2-2,Z2-3
A6NM43,,203621.4375,236885.6406,249072.0938,250289.5312,231456.2031,267450.7188,303571.5938,292247.5,295040.3125,227268.25,337300.4688,263390.9375,212831.875,258639.6875,253408.125
A6NNA2,SRRM3,20416.22266,33025.92969,25989.03516,18230.96875,17100.83398,11071.22656,89392.42188,99018.10156,89615.40625,23537.44141,15801.07617,19884.87109,11547.60938,12267.38672,13895.96484
A8CG34,POM121C,27405.05273,65588.75,37520.63672,49763.54297,39497.40625,80063.60938,15724.8457,,21517.68945,130062.3594,155460.5,95211.54688,82220.28125,97780.32031,120880.0156
A8K2U0,,23165.09134,5693.320744,72508.62932,3764.278418,6239.771823,7214.445477,11372.88955,6451.74192,5529.651168,2759.078738,16205.93285,2974.334863,7518.450972,5320.514601,10933.95598
A8K554,,,,,15079.05273,,,,,,,,,20322.37109,,
A8MT69,CENPX,22086.33008,,14139.4209,10524.07227,48697.87891,26484.32812,,,,,22544.69141,26500.09375,26465.66602,23432.44727,54188.73438
A8MVW0,FAM171A2,23913.20312,57144.33594,,30485.08594,,,,,,95714.48438,,,,56455.375,
A8MVW5,HEPACAM2,438493.1562,487975.7188,,,557263.5,366231.9375,415477.125,160409.4219,435265.7188,502271.2188,281308.4062,502629.3125,480389.4062,423522.625,369041.0312
A8MW92,PHF20L1,11199.01973,19761.0784,7412.814974,10173.20433,21281.41675,18567.45971,,,4050.256289,23178.12272,34966.33859,32835.832,14462.79407,14969.41309,28423.5332
A8MYB1,TMCO5B,392770.875,482236.375,493685.1562,623886.75,569744.9375,420667.25,537908.625,610393.375,573255.5,399590.4688,381933.1875,403537.9375,383129.4688,399903.9688,465434.2188
A9QM74,KPNA7,38503.69531,,,11241.80273,,,,,,,,,,,
B4E2M5,ANKRD66,271959.6875,275070.8125,295321.5625,215212.4062,250197.1562,205733.5938,286418.3125,,,238075.7188,249132.0156,249269.0938,249971.3906,240170.7812,224566.4375
B6SEH9,ERVV-2,375172.4654,273279.6849,253176.2457,224664.7417,289510.0595,341267.5485,328212.7204,235714.8873,301351.2082,301513.2986,230672.3118,239813.6103,252437.592,281820.2493,252093.2632
C9JJ37,BTBD19,,,,,,,,,,,10344.72559,10901.85742,22380.79297,12811.27246,9663.381836
D6RIA3,C4orf54,,,25047.95703,17334.27539,,,,,,4249.938477,,,,,
E9PRG8,C11orf98,11441.50558,19187.67244,18974.77029,18842.54193,18922.72994,31887.8701,28370.18907,11968.87639,19715.18994,22166.34924,30455.32833,26386.34179,15788.9264,13857.67533,27376.03856
H3BV60,TGFBR3L,,,,,,,,,,,,19744.35547,,31004.41406,35403.39062
O00116,AGPS,,6924.094214,4700.147686,,7968.583087,5692.18323,,,,4624.51416,,6384.131758,4831.383301,,
O00139,KIF2A,12370.39374,27464.53057,11811.77869,22101.16254,47088.70899,48042.89867,7187.82599,,4784.338861,35624.35156,42106.24038,36681.72333,42834.03852,41063.6847,56369.48465
O00148,DDX39A,18685.20449,50936.4708,21659.91903,28924.87496,51010.00339,56242.03592,5735.930507,,3544.013173,105803.1906,108988.1623,122237.8859,94299.47725,102191.5975,126276.08
O00159,MYO1C,79068.74566,139922.5598,64729.15542,44387.82698,106730.9753,107046.7586,94133.41545,18934.50472,35957.3491,127777.6101,106746.1068,99342.83163,66486.04941,47704.9078,100621.5718
O00161,SNAP23,3988.014345,7162.894264,3758.137445,,7411.024911,9640.524432,,,,12356.58811,14802.97515,11037.51448,5004.27239,6428.959348,8218.176912
O00186,STXBP3,3034.191406,9470.051758,9977.400391,,11566.34766,7586.929688,,,,5205.343262,8445.139648,6851.919922,,4399.128906,11769.91992
O00187,MASP2,16035.76562,15557.3418,13597.91016,8448.469727,13687.56445,,,,,18449.37695,12523.03125,20087.42969,26150.49023,12437.59961,8817.185547
O00214,LGALS8,84287.92964,72206.72979,40338.75493,35242.63976,51289.7842,43081.72267,81284.42189,45785.83669,53588.71524,41109.04335,27733.10689,43068.81915,36448.20895,28199.43984,33588.49245
O00255,MEN1,11640.10856,23995.48764,10332.1802,15290.24305,22605.036,28993.77937,5613.2396,,,46265.07776,54825.77898,50930.92501,26682.3559,35358.3882,55637.44725
O00257,CBX4,9657.906306,22958.89599,16026.98703,10510.60993,18500.62981,12003.05664,,,,12998.49372,29248.86697,31017.12842,21209.09358,19974.15309,28228.80033
O00267,SUPT5H,8602.437313,22177.87477,10507.20755,13582.8723,26310.81975,23158.6068,1714.585356,4003.275961,,37685.55571,38512.34234,34052.06439,26824.83945,25342.92367,40558.25363
O00268,TAF4,3700.803546,6777.058215,3708.663575,4890.453326,10780.62432,9226.235113,,,,13457.91955,10033.07974,12589.4459,9155.293808,8605.061106,20931.32581
O00299,CLIC1,6477.851033,7418.681628,45297.57611,7732.669919,31138.72974,13287.35058,4753.838184,,,12551.73673,13143.91661,,7963.293232,6032.398233,11747.47708
O00303,EIF3F,,,19061.2207,,7796.986816,,,,,,15080.79102,,,,
O00308,WWP2,11917.23145,14446.01513,,7847.704358,4491.684376,8994.90092,,,,13720.28473,12415.02183,5906.661111,6285.870036,5524.112809,9485.950737
O00330,PDHX,15754.31836,28624.45508,34459.63281,22879.65625,,25876.03906,8091.354492,7660.598633,22799.25195,22192.62695,30437.92578,23112.65039,27626.41406,21315.48828,26326.68359
O00391,QSOX1,41969.35938,63222.85938,60349.39062,36801.66406,46055.36328,43904.60156,,,,21798.42383,86811.26562,46298.35156,53352.01562,46963.38281,50968.63672
O00411,POLRMT,,2553.849609,,5744.560547,,1661.933594,,,,5254.577148,6455.210449,5900.201172,,3073.990234,3645.950928
O00422,SAP18,28062.94054,62923.53749,27256.73443,31476.48206,55042.01953,54223.78323,6031.150733,,2964.434988,104778.0976,121414.3534,106409.0193,76639.76892,72753.73438,103828.8612
O00442,RTCA,,16802.50655,12996.93405,,19626.1704,21777.81234,,,,14092.05149,18951.14366,15993.0934,8505.123694,4721.814946,10330.9356
O00443,PIK3C2A,5364.28853,14177.96638,4859.668854,4944.114056,7042.601143,8762.160743,,,,4359.057492,3097.751245,6484.730957,2786.082983,3240.878962,7059.002602
O00479,HMGN4,43299.52344,92842.21092,40861.30198,73584.75781,119941.588,132715.0625,11001.77658,16848.8769,16432.77158,134177.9531,197157.6508,201140.6822,120075.1199,132439.8281,167282.6094
O00483,NDUFA4,20618.37033,57050.69062,20829.67122,,43061.2401,41780.19258,15499.36332,,,45765.18048,41619.265,73400.14084,31762.37731,39367.87172,60707.23591
O00488,ZNF593,104218.1892,103911.7804,99045.47561,76791.38891,130572.5495,76890.1121,100050.959,83338.69148,91994.18643,83880.8747,76533.2128,97507.03741,67531.8843,68672.16483,78068.35879
O00505,KPNA3,16731.36328,37292.03125,23665.58008,,28805.86914,28494.9043,,,,26320.96094,27681.37695,19664.42188,25066.41016,23761.17969,29076.64062
O00507,USP9Y,5730.093262,17831.61719,3369.825684,2009.485107,17164.58594,7676.521973,,,,15096.28809,18398.39258,8636.882812,13642.49609,12256.64551,17717.08789
