ID,Symbol,CC-1,CC-2,CC-3,C4-1,C4-2,C4-3,IG-1,IG-2,IG-3,Z1-1,Z1-2,Z1-3,Z2-1,Z2-2,Z2-3
P33992,MCM5,24339.22947,47352.39385,20275.7945,47489.78087,61179.38254,65791.53312,8541.346812,2880.583925,7846.38884,61729.43965,67587.63081,58412.5637,45021.39569,44610.79479,59606.06153
P33993,MCM7,12266.12299,27134.93962,11435.98632,15842.21669,45822.90436,43671.67042,7284.698107,,3211.66485,43850.74644,44004.66839,43069.82528,35806.9864,35824.93879,50776.64167
P34897,SHMT2,3251.721091,5629.473369,,2629.410552,15212.4285,10001.01992,,,,12441.81485,10298.37077,11353.76952,3293.840197,1947.35869,1860.311324
P34932,HSPA4,,,7102.968141,2764.896438,8230.732555,5927.230214,,,,5600.641179,3101.044964,,,,3167.414735
P35030,PRSS3,63667.297,68973.07016,66094.35413,39938.94172,82914.45178,65838.43437,69989.86735,69047.34869,67869.93998,59917.56063,52799.96246,67679.00165,72607.5807,62943.52825,69762.86252
P35221,CTNNA1,13100.36832,11801.26213,24311.11734,16876.85846,,9011.28766,,,,19445.73573,18248.52969,17981.36153,,,15598.10623
P35222,CTNNB1,15351.59257,10741.12543,37082.65114,5424.069888,11860.50223,7211.511936,8790.951179,10334.33392,10346.83173,7952.98984,16906.48857,5014.181001,10012.03006,5249.880042,10079.78755
P35226,,14408.52196,20770.30665,14980.94269,9606.234036,22521.52753,22926.00131,,,,26411.6042,29075.41965,24086.17087,19684.45483,19041.53248,29517.78819
P35232,PHB1,27643.58178,57422.70533,32023.51706,9999.031741,34067.89909,31125.85733,10225.24009,7407.170232,6227.511284,39215.00489,43469.65258,43568.54688,18605.47784,15882.64655,28755.25442
P35240,NF2,7191.153276,11713.88721,3013.778291,4469.202525,12391.96364,13537.55403,,,936.3445566,17967.46263,19597.16867,11654.60638,5667.011161,5472.33327,11857.08605
P35241,RDX,7922.241551,15836.90409,8331.969542,18131.26826,28552.48859,27919.76939,,,,8365.305436,7046.932632,6457.769289,7866.805549,7507.323942,8600.694402
P35244,RPA3,,16509.13672,,,15936.88379,,,,,14028.26953,,10218.44727,,,
P35249,RFC4,16454.14912,40360.66825,18939.57643,19867.91539,41247.93999,38634.89249,5700.525046,,,56433.00035,51224.89263,52553.6875,41131.51354,53006.89738,76580.03227
P35250,RFC2,11213.96713,28174.46818,13047.70852,14231.40095,26033.4287,32444.5048,2220.053402,1377.321259,2015.398001,30705.67115,43242.30405,39304.08542,35130.18403,34986.8481,49090.17081
P35251,RFC1,19893.22847,37601.18258,17553.20427,17490.66348,37734.74456,45852.31118,3043.759945,,4027.979207,41135.13863,51074.44516,53701.15352,45935.64335,48704.49612,70545.08163
P35268,RPL22,247108.6562,389171.0625,294798.8438,228745.5469,241032.3475,225205.8438,126083.8144,88274.22656,93533.37717,329200.8438,349091.0625,337055.8125,204508.3125,205358.543,244456.2769
P35269,GTF2F1,8534.594727,7214.611328,,6794.682617,,8391.572266,,,,,,,,,
P35527,KRT9,670141.2176,217265.2598,391947.709,285964.7724,500488.6329,632285.9214,425125.4573,497187.5435,617102.8683,241365.521,837736.0269,480098.559,589966.0704,442481.0032,413345.3933
P35542,SAA4,34538.78951,38616.29692,27574.42516,33823.64714,42656.62777,29760.14256,41507.53508,38717.73522,46748.8234,27609.12512,32103.98443,25717.79847,27046.0836,42849.30351,27952.42779
P35558,PCK1,,,145749.6875,86646.58594,,,,,,125442.7188,87328.21094,132054.0312,88716.5,79489.71094,103665.9219
P35579,MYH9,33068.53113,54491.05469,32889.00261,49501.26472,111446.8875,71794.09686,12135.64838,3912.004038,6517.61993,70573.19526,48804.2091,49695.56881,31528.46158,27490.78809,39984.69628
P35580,MYH10,15830.47236,27507.14487,9589.614864,10616.85242,28602.45717,16608.53418,,,,20343.33046,11842.67139,9578.147065,8624.302664,5621.850478,9906.719836
P35610,SOAT1,5546.38384,14368.73047,5663.653669,6494.539694,6038.122425,26491.30939,,,,11363.55905,13199.92773,12500.83105,5369.891766,8936.381381,10476.90506
P35611,ADD1,4924.460773,25653.90392,10917.01294,15612.68231,26909.09786,19897.82278,3145.837073,,,20211.55261,25198.33077,14207.14871,15537.46807,11569.5076,19446.69067
P35625,TIMP3,106830.375,86351.375,70963.89062,69865.26562,76479.07511,89653.40182,,,,90026.08359,79002.35435,94268.96094,82421.8636,73369.10938,85380.972
P35637,FUS,114608.0753,165545.4784,104354.4356,106083.9375,189274.1472,180913.3125,24105.92063,10355.55123,22223.22656,207915.5984,238699.8438,260024.5715,149849.9062,161208.5906,247772.5625
P35658,NUP214,3769.270099,14777.4439,4626.451528,6352.117167,10047.85606,11458.60188,1627.113676,,1183.879166,18577.18072,20306.31949,16183.29959,10001.42859,10454.65544,18506.39507
P35659,DEK,75926.47902,171926.703,95268.06434,162677.0718,258184.1954,260183.8594,16609.56969,7879.552077,16360.24974,271243.7349,307094.5857,274868.2518,249708.3957,274185.5586,443554.1877
P35754,GLRX,13305.31641,,12958.61133,7884.222656,,,,18909.42969,,,10902.34375,,,,
P35858,IGFALS,15301.34004,15372.42696,,,7017.068174,10312.07705,4193.305388,,,4262.590321,,15072.67408,11543.94749,10207.52752,6523.141722
P35900,KRT20,,,41004.45388,,,,,,,,14625.0968,,9093.933478,13189.69866,
P35908,KRT2,353272.3669,146304.6084,211628.1037,103957.6885,134135.5421,246552.3004,267528.0276,240281.5364,205934.2729,101057.9199,336482.6637,165181.323,248190.9422,152170.7812,220748.0697
P35914,HMGCL,366879.8438,276606.6875,,,106880.7344,224585.9688,507018.375,,179363.0312,157430.4375,,245366.75,396772.75,116457.7656,256246.5938
P36542,ATP5F1C,13336.99217,28399.55948,19412.49111,6300.255114,30470.14743,28484.45312,25811.22824,3341.827962,,32801.64062,27319.23951,25914.49351,9966.536544,6239.988077,17726.33098
P36578,RPL4,71987.93629,153371.3242,104916.6832,68164.6023,122422.0593,113852.0617,10282.63955,2056.897859,7588.430117,138687.3568,154192.5754,167416.5304,85766.66121,83711.7957,135912.4409
P36776,LONP1,27998.25391,55981.96094,31944.14453,49610.10547,53480.32812,53500.96484,,,,76580.86719,108243.6484,77414.95312,68856.32031,68304.46094,107172.2578
P36873,PPP1CC,32209.81894,59945.10938,35543.19141,23662.20508,35106.45616,50518.65226,,,7566.549656,53460.74219,62566.03196,90584.34589,32661.19922,36774.35053,75234.44594
P36952,SERPINB5,11692.24609,,58148.16406,,,,,,,,,,,5394.115234,
P36954,POLR2I,,11371.79199,,,,,,,,,,,,14081.02051,32685.14062
P36955,SERPINF1,1682.563477,3856.595215,,,,,,,,,,,4561.693848,,
P36969,GPX4,,9225.876953,12045.76758,,8850.003906,26929.38086,,,,7749.257812,8220.321289,8429.577148,9792.453125,11681.17773,10513.13379
P37108,SRP14,15690.58042,34724.86568,17121.43173,30322.03236,42776.38925,48885.7674,8529.212614,3257.277462,6322.331833,48077.92715,57061.83897,62724.68945,23643.72935,39029.74812,56525.7116
P37198,NUP62,6564.258409,18738.19111,7292.031858,6863.86601,15581.25722,19474.31885,1996.583439,,,32958.31733,23273.32167,26680.55284,14156.11064,16265.91272,26662.23979
P37802,TAGLN2,12782.18109,34493.21631,37451.62595,17109.21563,64954.11846,44853.41049,7516.340232,,8775.002931,39484.46064,33484.2159,33342.18485,10982.1242,13254.12086,11668.81135
P38117,ETFB,,,7395.366211,,3997.164062,2684.554443,,,,,3497.881348,1388.639404,,,
P38159,RBMX,342473.981,579677.8046,338242.7326,440736.747,546694.3281,643135.6001,65015.60502,30353.45621,72971.47874,992545.7808,1184379.662,1057439.22,704491.275,727817.5869,1088662.054
P38398,BRCA1,,11947.19991,6382.179998,6336.075822,13592.7297,19220.21484,,,,15534.36738,20267.58369,19557.7634,18404.5321,17321.29217,28533.77604
P38405,GNAL,14983.30469,28611.18945,22099.00391,16206.45117,19575.64062,24804.44531,29036.00977,22349.86328,21675.04297,20575.59375,26952.44141,34960.08984,16781.51953,21970.07617,25867.39453
P38432,COIL,1423.700144,7269.256791,4167.236455,10162.51967,17244.39835,25911.01686,816.4743012,,1431.685056,43295.12489,61036.53516,63179.33905,18909.66049,19638.16451,34321.03055
P38484,IFNGR2,46291.32812,63003.17969,27866.00586,38188.97656,,75298.19531,11318.98828,,,84372.92188,74285.09375,81309.35156,64686.12109,73015.9375,87741.65625
P38646,HSPA9,2673.220733,3786.125715,4608.59645,6415.366483,10802.01206,10237.99046,,,,7104.582918,10856.45596,12509.74874,2017.098107,,4118.759715
P38919,EIF4A3,71709.95124,170522.5723,99268.16254,110334.9266,158144.5679,164067.6678,20582.32682,6060.332533,18432.05471,292946.5946,359521.1388,293777.459,207172.8807,200816.8342,323416.8067
P39019,RPS19,20894.55288,49774.67247,30021.56496,16614.9088,33166.2341,23107.61069,9294.448525,5028.118932,5593.594385,48095.74613,44034.27687,42134.40693,20241.31391,21691.46984,26539.18703
P39023,RPL3,47322.17004,93388.5524,57403.29188,39060.901,78081.9477,75327.84836,6896.549239,2085.475626,5884.077467,94969.45736,95104.99065,113015.9178,54334.89855,49071.34487,81866.77461
P39086,GRIK1,28153.50195,29120.33398,19785.91016,15662.80664,31010.45508,18477.66406,,24152.13281,,29965.55078,35702.1875,27375.61914,26907.84766,28759.54688,35523.51172
P39656,DDOST,12908.32664,25069.71264,19286.30001,6246.390265,14654.07801,17247.52466,2033.352079,,1071.051537,26328.40863,31365.83679,26171.04329,15945.83093,15132.96714,23511.4645
P39748,FEN1,28521.05239,68230.1144,34633.94499,48252.39316,84181.21387,98880.551,15425.02014,7590.95626,11373.95536,58035.04957,62931.50463,61844.63235,52656.57505,60335.40292,78081.44866
P39880,CUX1,,4511.427555,3627.310277,6677.511556,10823.69134,12152.93424,,,,15873.7799,12682.51779,12261.08849,20797.78072,17991.86353,20007.31065
P40189,IL6ST,,,,,,,45990.82812,32487.89062,34479.38672,,,,,,
P40222,TXLNA,18779.23119,41297.1718,18285.04737,13748.41059,24252.91023,26248.56457,2540.970646,,1763.671222,9774.323044,5385.350295,4411.011131,9333.911637,11703.84722,12051.40765
P40227,CCT6A,,,,,16168.98535,,,,,11825.87695,,,,,
P40238,MPL,28475.95508,9254.033203,17207.54297,23742.76172,,5550.0625,,,30098.86914,14811.65527,14720.39062,24990.79883,,15275.88672,19600.80859
P40429,RPL13A,38433.86427,63356.26965,41675.37399,20321.47003,40832.42235,39599.49257,,,3176.728247,53163.88284,61826.6195,52072.60689,34835.04122,24831.83978,44719.04535
P40692,MLH1,,1850.209106,,,10357.35156,2750.024902,,,,,,,,,
P40818,USP8,44664.23828,131823.4375,64778.98047,88336.16406,111038.0781,124979.375,,,,126086.2656,156280.5312,121869.0391,115606.6562,131411.1562,187733.3125
P40925,MDH1,,,47170.32812,,,,,,,7939.230469,9078.136719,,,,
P40926,MDH2,18363.33436,15576.66238,31264.90064,8591.691043,25897.50601,33436.84787,6999.00006,,5415.945016,20144.59286,19126.12483,23299.59682,15627.56047,12280.60412,16024.39051
P40937,RFC5,23777.42489,54728.45631,20182.13368,25360.00005,46077.99776,52454.5,6996.824439,5841.728606,,52376.13939,67637.27974,71442.18526,54042.43899,60215.90625,94616.61963
P40938,RFC3,20699.26361,42345.43783,16650.14031,18878.26523,39356.26,40998.1721,3887.18213,,2934.824755,47760.32877,50307.90751,60001.07833,47223.46469,48868.38991,72649.50445
P40939,HADHA,21787.9963,40737.19141,23338.71969,15401.31403,50671.9603,40513.21235,8569.17038,,5019.182912,55320.1825,49351.95703,57268.76063,32022.2836,27233.04271,46956.1893
P40967,PMEL,,,,,,,152273.8281,118385.0781,104310.1875,27444.21875,37447.96484,,,,
P41002,CCNF,,,,,11430.41699,,,,,8524.685547,,,9752.0625,11251.58203,13227.88672
P41091,EIF2S3,16695.24092,42562.08203,34973.78004,59325.40234,79054.54688,101742.1719,,,,39271.0625,55092.78725,43073.71875,40759.8228,51856.48935,68111.34375
P41208,CETN2,4901.743927,9834.095738,5352.184353,9430.581165,18916.50391,14068.46022,,,,29201.77609,33540.82328,26503.97904,21427.10706,18764.19143,27640.61275
P41212,ETV6,19899.50514,45736.3167,21061.27968,22250.66801,33324.54647,48790.92515,2974.336313,,3164.067184,57295.90258,59044.85832,58970.20002,40522.86361,33837.70844,54267.06571
P41223,BUD31,10012.95403,19235.27978,4512.098313,15247.53991,16971.77312,23818.13877,4210.969058,,3536.301472,32103.69556,32487.44866,27817.56695,26459.8847,18398.31413,26796.89124
P41252,IARS1,45139.36719,84829.53906,95749.54688,77333.92188,98388.46094,82530.21094,535776.0625,470536.125,488992.9375,83046.32031,75282.40625,84633.13281,81204.5,71948.34375,78971.82031
P42166,TMPO,40829.99153,87483.72208,29813.16293,31078.27929,63186.46867,72208.5377,4044.419967,,3692.736136,66157.68467,84263.3064,80298.5217,98443.39421,93656.10432,150523.3027
P42167,TMPO,36603.88486,75590.3354,24249.20124,27685.05604,84158.1561,79220.98051,7317.524302,,6241.28885,133860.5,129796.3408,124851.4466,98426.58222,96622.47157,161175.105
P42285,MTREX,7160.134609,20547.19634,6210.139085,11584.04267,18985.15064,26869.57025,,,,30117.66176,37637.40413,43700.92983,25984.23108,28229.52091,41731.94655
P42357,HAL,14960.77617,2450.440233,10294.69554,3439.052267,4516.988584,11046.38703,17895.54214,4416.783086,4596.589351,3047.844444,14415.93456,5374.805345,11797.5382,4666.299527,8193.251656
P42677,RPS27,93381.03979,196316.2584,134241.9745,66641.41487,119859.1936,93121.98954,44802.43218,15167.67722,12884.62835,103917.8016,122164.1762,117212.8824,80700.02094,66580.50338,103788.5264
P42684,ABL2,2066.099965,9094.032864,1183.962458,3800.142293,3003.423547,2865.420842,,,,,1581.902076,,685.9264526,594.7944493,642.0870618
P42695,NCAPD3,3810.783594,9608.289815,,5606.591621,10719.96538,11570.2437,,,,13453.01228,9241.407406,8573.773412,14945.4619,13111.73534,19675.36523
P42696,RBM34,12231.45372,29159.98411,17086.24335,7373.757824,19945.137,35116.79651,,,,22334.45059,34706.26786,42053.66618,18283.35293,25753.3778,37284.42508
P42704,LRPPRC,4926.808339,19715.3561,9333.66612,4992.671845,13644.8921,8779.707254,,,1067.762305,9678.999464,5472.349059,6503.501305,3732.695161,2613.511422,5247.228639
P42765,ACAA2,,,7543.449219,,,,,,,3860.48584,,,,,4371.52002
P42766,RPL35,155930.1562,399971.875,359139.6562,275579.5312,361041.5312,339990.6875,133302.6406,56716.26562,90482.83594,315989.5938,411173.3125,402025.875,236509.1875,231708.4844,341806.875
P43004,SLC1A2,74979.10938,84151.96875,63922.00391,35826.75781,61474.54688,83782.96875,127788.3672,,111718.7031,77586.64844,55525.41406,83845.46094,95567.01562,85656.83594,74654.67188
P43034,PAFAH1B1,,4587.939941,18377.10156,,,,,,,,,,,,
P43235,CTSK,41101.21875,34902.10938,21180.93945,34543.13281,26799.87109,45414.90234,,28438.76367,,30978.12109,53961.03125,,,,
P43243,MATR3,61836.33982,143511.9079,71816.84863,57799.93805,109058.0533,117916.1898,12152.24872,4386.165478,11920.48708,218858.6954,250342.8653,236728.1258,150434.1874,142925.7103,228374.1889
P43246,MSH2,9635.13189,23701.07804,9640.232154,9515.901445,25632.09895,31470.26077,2879.09269,,,8630.084189,7153.124411,6309.119561,8527.517991,9919.160055,11691.15068
P43307,SSR1,76699.16406,112929.0067,42975.56641,35722.78516,80140.14256,56498.7938,33764.61191,,,95099.24337,108320.6328,96021.87987,68811.4551,59650.07038,114816.0703
P43358,MAGEA4,12807.56266,28405.85742,6567.040862,5312.052893,22718.38806,24982.65234,,,,36709.72266,26784.25606,35001.32812,24163.57812,17523.74609,35971.66256
P43366,MAGEB1,66425.40625,61043.51562,76383.39062,169147.1094,96628.04688,136845.9375,85443.02344,132185.0312,98119.92188,70202.09375,265793.8438,52450.39844,88340.53906,259385.125,54149.03125
P43403,ZAP70,,,,,,,,6780.483887,,17384.75781,27369.68555,,,,18052.67188
P43487,RANBP1,,27200.05469,18295.60742,,31063.63281,34917.50391,,,,,6294.41748,,9208.831055,8944.536133,
P43490,NAMPT,,,20939.68569,,3264.226905,,,,,3792.486738,2291.95833,,,,
P43652,AFM,39339.6357,87868.37324,21820.40332,,15237.13132,7471.584427,6708.266885,,,5915.059702,5787.625419,6521.291957,6540.361477,5761.204651,6798.790551
P43694,GATA4,,5160.802734,,,1499.112183,,,,,,,,,,1616.73584
P43897,TSFM,,12189.9043,,24764.14258,,19150.16602,,,,32851.24609,36608.51953,47032.28906,,16194.2793,
P45378,TNNT3,110434.6797,171215.6562,199248.7188,153118.0156,173183.4531,161789.9219,215307.2812,201367.2344,190935.6875,154497.7031,161719.6875,183584.75,163812.0312,185808.5,176721.6875
P45880,VDAC2,123365.6245,271892.0072,184118.3773,56511.34661,114520.1974,146323.2021,19805.23891,7845.775482,17168.15514,116472.2604,129585.691,124779.6962,71387.65732,61408.69078,115512.6668
P45973,CBX5,46965.84612,90194.28906,26235.35182,37785.51699,61579.17309,90052.60938,5766.678547,,5741.073927,72885.38288,112140.7211,87285.76443,71025.8846,78190.28125,111383.3672
P46013,MKI67,14234.75742,33480.41653,15670.66245,31025.35535,46077.63489,63616.82058,2282.39364,547.3441118,2792.103979,41572.69945,57923.80405,53288.60599,54097.56494,56820.46156,90953.37609
P46019,PHKA2,95095.42969,105345.6562,89072.17969,69800.96094,125831.0625,88222.08594,8890.899414,,,102951.4219,71153.72656,125480.5,109770.7031,70606.59375,111047.5781
P46060,RANGAP1,10888.72886,29080.84137,12225.54591,11314.29138,24100.30756,20228.9101,5411.411884,,,39868.80362,45234.66827,36075.66875,26337.23727,25544.24344,40254.98916
P46063,RECQL,23101.41401,56027.96788,25200.44806,39675.23644,64435.08315,75668.88694,4959.723536,1594.497855,5869.727504,62062.17669,67654.62726,60424.74109,57598.8815,61892.81236,86582.45606
P46087,NOP2,28760.78492,69675.96058,32639.13216,45323.88738,68089.27528,122918.1134,5470.813785,3703.626678,8229.085258,97204.71845,148406.8371,163989.9713,92241.47227,111410.5056,168518.4227
P46098,HTR3A,46275.96094,70804.51562,81437.125,83916.33594,67520.125,60750.47266,34205.91016,24684.26562,24324.16406,70809.34375,87389.48438,92778.63281,66958.53906,50754.14453,45224.99219
P46663,BDKRB1,,,49542.17188,64462.67969,77001.13281,,,,,77225.65625,56553.07422,43403.06641,33742.44922,,19578.20703
P46734,MAP2K3,6707.124886,3593.744883,11472.30837,3830.138357,13904.1037,23478.06869,,,,,8313.903828,5742.508571,,4005.174959,
P46776,RPL27A,183447.4297,323569.7038,245413.1596,130832.0615,224569.2846,248897.1133,60125.91406,26956.51924,54066.28171,275815.5041,258398.1517,299412.2969,167589.1914,157935.7742,229221.625
P46777,RPL5,79175.13971,124886.8195,83849.30907,55801.66407,89297.19318,85999.87745,25551.42114,9593.244454,12485.84748,104557.6782,98338.54073,114925.6272,67502.92294,51266.04557,98610.99841
P46778,RPL21,17731.47697,41388.81232,28811.73278,13845.85353,31310.58543,20904.19098,6486.913975,3770.83612,4827.043019,32264.46634,38940.962,41438.84286,25741.39132,15708.34867,24712.12752
P46779,RPL28,85915.93191,134341.8125,107728.7969,58223.69218,91754.67969,100829.5263,22561.02862,9908.409061,11645.2305,118990.8516,118518.4375,114656.5142,61456.48438,59186.68784,78061.14844
P46781,RPS9,283332.0348,463806.1964,343964.1143,178592.0955,288284.744,298292.6606,140048.6562,31898.73089,60757.23053,285285.8278,272274.4405,260111.8266,184338.7961,128274.2452,232074.875
P46782,RPS5,39482.98473,74566.78906,45053.23211,26561.89617,49867.18612,49392.95465,14019.45979,5228.921813,8066.089821,54365.69611,60406.65473,65758.39539,41070.55432,30982.51953,69164.10938
P46783,RPS10,90476.89844,229011.3696,45669.05026,,159066.6719,92123.34814,10797.64155,,10950.78828,139439.3281,61822.23438,168822.1875,108846.2422,99565.96875,147573.4062
P46821,MAP1B,3198.169907,5878.57666,,4576.66352,8206.333008,3491.164418,,,,4349.859646,2755.936996,5942.714,3133.436763,3078.778615,2485.195097
P46940,IQGAP1,16844.06982,34426.50756,38469.8762,13789.35871,33843.05392,37554.40937,16118.49867,3183.123597,7934.439932,11386.38158,7449.115894,5698.018266,10395.13609,7820.804596,10013.8792
P46977,STT3A,4424.707984,19594.1146,20045.40518,4209.825729,18627.73428,24882.97564,3393.723128,,,25481.40786,34984.85054,22926.5404,9044.481361,15035.61636,24792.77324
P47736,RAP1GAP,63617.79688,55415.89844,27965.11523,19650.07617,58588.83984,78310.94531,33509.80078,22230.70508,36850.1875,40823.73828,53033.11719,15495.38965,41727.16797,45237.69531,34962.06641
P47756,CAPZB,11916.32146,31677.32087,24150.99034,10642.85849,26536.67665,21916.82263,5175.439279,,4939.000088,22334.11455,23758.22163,20301.47612,15095.96993,19660.476,28842.99881
P47813,EIF1AX,9333.098633,,,18769.03711,,17532.67383,,,,6611.099121,,,,,
P47914,RPL29,6055.334961,86128.39062,53376.84375,36122.34375,56885.65234,54849.62891,5500.451172,3510.418457,4331.462891,107264.7812,113662.25,115357.0469,64071.20312,39956.03516,64815.99219
P47929,,69373.63343,38663.42827,220960.5464,31508.82943,20815.36519,43105.40897,57175.72314,26471.0928,35736.23542,23759.71875,86998.75313,29167.68682,28727.26617,26427.47615,26577.17248
P47985,UQCRFS1,8718.832188,36287.94238,17533.88838,,24051.24443,16378.4865,,,,15101.29056,12398.51679,10411.09272,7969.113721,,20712.0284
P48047,ATP5PO,,28149.79118,,10270.82684,38661.84255,27691.14812,16101.16926,,,24510.31987,34732.37814,,,,7603.695136
P48059,LIMS1,13516.65634,25349.90964,14673.60077,17918.82258,27552.29462,34209.96991,,,,20929.3378,30251.58742,15817.96822,9829.346145,16865.59765,19798.48686
P48163,ME1,,,27434.67969,,,,12028.95117,,,,,9314.294922,,,
P48382,RFX5,2386.074731,7454.878942,2200.724823,2720.358098,3774.95647,5727.477009,,,,15592.33219,12575.26027,9870.284937,4380.12718,10674.78491,14789.47679
P48507,GCLM,160590.7344,507131.25,497753.5,457106.7188,396253.6562,396244.0625,,,,381388.5625,375988.625,414393.1875,391838.125,479607.2812,522890.9375
P48594,SERPINB4,,2815.113429,69705.12148,,,,9198.249039,,,,3951.272969,2839.961669,5947.606009,7528.806739,3365.492907
P48634,PRRC2A,,19927.06418,8992.520508,12341.7495,15937.73828,12546.27006,,,,17556.10156,20680.29297,18281.73047,13383.06445,21213.58594,24258.98823
P48643,CCT5,11018.7793,24789.52734,22573.18359,14198.22363,,23871.08398,,,,,,13418.60156,4743.425781,,
P48681,NES,10230.60265,9656.550852,8149.422268,17577.07068,23118.05166,32859.46776,11439.71917,9429.094822,12719.34729,15664.66327,10533.1071,16750.91699,9232.23416,9755.035578,8883.577505
P48729,CSNK1A1,4336.575645,14023.85418,6303.102254,,10167.59662,14440.15026,,,,20694.82073,13000.02333,20710.36676,12195.4499,11386.80294,21562.60317
P48730,CSNK1D,8020.915291,21726.58198,9714.640717,10949.45048,19879.76694,21172.20502,,,,28863.73714,32819.71681,20899.40949,16783.55013,19509.74912,39575.85156
P48735,IDH2,,11319.81672,15768.70232,,,,,,,11651.24955,,,9185.040133,,12966.60678
P48740,MASP1,18041.72461,38242.29297,,,31493.08984,27755.94336,,,,27519.91211,,,30086.15234,,56850.42188
P48775,TDO2,12577.15263,10167.2311,,,11934.98773,10324.66101,15650.06631,,10090.79208,14640.15201,,11293.60529,15723.20964,8942.157916,
P49006,MARCKSL1,33609.10915,39820.35206,21617.30663,17650.02243,50250.70299,25173.25696,6579.937355,,2256.102446,17986.99681,23121.28874,27829.89811,18585.42392,19805.99457,33547.25833
P49116,NR2C2,3490.508345,13399.17503,8047.130695,12028.82997,18615.70824,13297.75479,,,,15411.83902,24800.85577,22870.36072,11447.94842,14777.48542,21472.14809
P49189,ALDH9A1,15282.81055,,33291.43505,,9350.078238,9120.200131,5718.675293,5723.401273,13133.5847,4690.70614,8654.131389,6789.237762,4777.254331,5092.174472,
P49207,RPL34,118729.4334,222119.7789,151711.8038,80899.07812,148414.0323,138365.8972,34392.08975,13654.06876,27040.5478,168325.3447,195469.2828,202236.1696,95867.01118,100339.9441,141653.866
P49327,FASN,5720.565344,5730.991578,25134.71875,2957.383698,10086.52698,6227.561652,,,2840.095769,4916.172158,3576.662332,7268.66944,4003.74909,3321.466607,7561.020906
P49336,CDK8,,11163.21323,2763.206368,4329.199708,,,,,,9124.772876,4441.144061,5867.964266,,,6689.828819
P49368,CCT3,1034.353057,9352.289696,15020.73089,3094.249518,10827.04682,5318.140331,1629.571433,,,7709.080151,8153.115951,9167.743033,5568.301579,3515.735096,3407.591148
P49411,TUFM,,,14823.25265,3573.254579,12668.2627,4425.335135,,,,11719.76575,14161.83266,4528.001207,4288.046319,,3504.096768
P49450,CENPA,9453.688477,13315.01367,,,30624.25781,8567.3125,,,,,28717.12695,43756.23438,22005.70898,25048.83594,38202.20312
P49454,CENPF,11338.38775,22279.96731,8313.948368,8682.633633,12658.78863,12390.16591,2216.987981,,,14877.90021,16346.14496,13028.43596,13365.62128,11926.75561,18789.24392
P49458,SRP9,10349.89323,19469.28944,12257.39062,24317.32341,31865.52539,30719.99219,,,,32865.86719,67944.33414,56745.79596,21717.05273,31470.8345,27887.80273
P49591,SARS1,8083.23572,22335.08067,16286.43066,3584.233055,21955.89648,16963.10547,1883.9484,,,6993.777492,6561.0757,7806.232975,5516.016791,5278.754956,8089.357427
P49674,CSNK1E,49211.04688,22147.48047,12290.69141,,87142.45312,36782.6875,,,,56530.46875,39390.05078,33757.45703,23915.95508,10345.29395,19687.26953
P49711,CTCF,16802.14564,42068.00273,19838.61088,19001.82925,31488.78963,34300.73465,4403.900006,1854.685454,3024.997142,44391.67684,65259.67219,64990.88447,45225.83024,44506.90725,69816.96408
P49721,PSMB2,10605.86201,,4638.257571,5652.316021,8373.177567,8667.341625,10914.07464,4728.873953,10079.77676,2931.237979,7832.31731,8552.75486,5167.641294,6082.27832,
P49736,MCM2,11303.47603,34273.54106,11446.80094,19923.95985,44797.83941,29699.38906,5447.653064,,1972.9586,46119.49038,49481.25008,42459.23368,31624.32794,36727.64935,50082.28461
P49748,ACADVL,11080.81667,12907.59399,18409.43756,,30083.77539,35401.91406,,,,17805.16992,13558.19336,,10281.08952,,14917.5918
P49750,YLPM1,7789.696967,18038.22821,10581.31031,17221.85375,27183.61017,29341.99238,3003.999721,,2588.205928,38874.96812,46094.30388,42009.69394,27753.31211,26768.7584,39772.94274
P49755,TMED10,,8677.87793,16730.42188,,,5321.241211,,,,5263.254395,12260.84473,,,2369.134033,6988.480469
P49756,RBM25,12915.6366,31881.15075,13912.32045,17473.74734,39846.13078,35924.96305,2737.36822,,1068.355736,59826.06272,76930.80426,66745.60917,35602.77667,34292.72804,52831.86526
P49757,NUMB,11676.49043,17159.48574,7190.891437,10082.97746,32560.57899,36164.97181,,,2646.646466,21496.27834,5252.296019,30869.37215,16275.84574,7926.636509,10577.218
P49761,CLK3,7384.497559,8976.4375,,,13856.27051,12811.31445,,,,11961.7207,20776.67578,13222.82812,10873.85547,17764.17969,11905.58984
P49773,HINT1,,,,7248.986328,4821.703125,7495.445312,,,,,,,,3918.914551,
P49789,FHIT,3220.265625,8254.62793,,,9441.364258,8052.803223,,,,12445.77441,15677.17773,9555.225586,8382.448242,4237.104492,12112.02441
P49790,NUP153,9532.599691,25602.99336,14862.48143,23186.91705,32073.80901,38987.82418,5387.621845,,3801.940337,58416.0165,75196.13934,61077.0773,40514.56031,37435.41989,60822.01803
P49792,RANBP2,18017.80517,53282.55738,23145.26662,21428.12271,35752.31627,34981.23686,3221.56499,,2611.895778,53239.25163,66482.59712,52037.18233,39433.61134,35571.71969,56586.99855
P49796,RGS3,,,,,18476.61719,,2306049.5,1929099.375,2025681.125,31690.1875,,10757.05469,,,
